NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT05057182,Third Dose of mRNA Vaccination to Boost COVID-19 Immunity (mBoost Study),https://clinicaltrials.gov/study/NCT05057182,ACTIVE_NOT_RECRUITING,COVID 19 Vaccine,BIOLOGICAL: BNT162b2,The University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05057169,Randomized Trial of COVID-19 Booster Vaccinations (Cobovax Study),https://clinicaltrials.gov/study/NCT05057169,ACTIVE_NOT_RECRUITING,COVID-19 Vaccination,BIOLOGICAL: BNT162b2|BIOLOGICAL: CoronaVac,The University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05046470,SARS-CoV-2 Transmission in Belgian Primary Schools of the Federation Wallonia - Brussels: An Epidemiological Pilot Study,https://clinicaltrials.gov/study/NCT05046470,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection,,Université Catholique de Louvain,University of Liege|Université Libre de Bruxelles,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05041907,Finding Treatments for COVID-19: A Trial of Antiviral Pharmacodynamics in Early Symptomatic COVID-19 (PLATCOV),https://clinicaltrials.gov/study/NCT05041907,RECRUITING,COVID-19,DRUG: Nirmatrelvir/ritonavir (e.g. PAXLOVID™)|DRUG: Nitazoxanide|DRUG: Molnupiravir and nirmatrelvir/ritonavir (e.g. PAXLOVID™)|DRUG: Hydroxychloroquine|OTHER: No treatment|DRUG: Monoclonal antibodies|DRUG: Fluoxetine|DRUG: Molnupiravir|DRUG: Sotrovimab|DRUG: Ensitrelvir|DRUG: Monoclonal antibodies|DRUG: Favipiravir|DRUG: Ivermectin|DRUG: Remdesivir|DRUG: Atilotrelvir/ritonavir|DRUG: Metformin|DRUG: Nirmatrelvir/ritonavir|DRUG: Nirmatrelvir/ritonavir|DRUG: Nirmatrelvir,University of Oxford,,ALL,ADULT,INTERVENTIONAL
NCT05032976,Korea Comirnaty Post-marketing Surveillance,https://clinicaltrials.gov/study/NCT05032976,ACTIVE_NOT_RECRUITING,COVID-19|Vaccines|Adverse Effects|SARS-CoV-2|Safety,BIOLOGICAL: Tozinameran 12 Years of age and older|BIOLOGICAL: Tozinameran 5 to 11 Years of age|BIOLOGICAL: Tozinameran 6 months to 4 years of age|BIOLOGICAL: Riltozinameran 12 Years of age and older|BIOLOGICAL: Famtozinameran 12 Years of age and older|BIOLOGICAL: Famtozinameran 5 to 11 Years of age|BIOLOGICAL: Raxtozinameran 12 years of age and older|BIOLOGICAL: Raxtozinameran 6 months to 4 years of age,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05022446,The Impact of COVID-19 on Pulmonary Procedures,https://clinicaltrials.gov/study/NCT05022446,RECRUITING,COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,OTHER: Survey Administration,M.D. Anderson Cancer Center,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05019963,Enhancing COVID Rehabilitation With Technology,https://clinicaltrials.gov/study/NCT05019963,ACTIVE_NOT_RECRUITING,Covid19,BEHAVIORAL: NexJ Connected Wellness|OTHER: Usual Care,University of Ottawa,Canadian Institutes of Health Research (CIHR)|Ottawa Hospital Research Institute,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05018078,Safety and Immunogenicity of COVID-19 Vaccination in Patients With Cancer,https://clinicaltrials.gov/study/NCT05018078,RECRUITING,Patients With Cancers|COVID-19|Vaccine,BIOLOGICAL: Coronavirus vaccine,Beijing 302 Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05013632,COVID-19 International Drug Pregnancy Registry,https://clinicaltrials.gov/study/NCT05013632,RECRUITING,Covid19,DRUG: Antiviral Agents|DRUG: Monoclonal antibody,Pregistry,,FEMALE,ADULT,OBSERVATIONAL
NCT05007275,A Study to Determine Safety and Immunogenicity of the Candidate COVID-19 Vaccine AZD1222 Delivered by Aerosol in Healthy Adult Volunteers,https://clinicaltrials.gov/study/NCT05007275,ACTIVE_NOT_RECRUITING,Covid19|SARS-CoV-2 Infection,BIOLOGICAL: 1x10^9 vp AZD1222|BIOLOGICAL: 5x10^9 vp AZD1222|BIOLOGICAL: 1x10^10 vp AZD1222,Imperial College London,University of Oxford|AstraZeneca,ALL,ADULT,INTERVENTIONAL
NCT04980560,Gut Microbiota Profile and Its Impact on Immunity Status in COVID-19 Vaccinated Cohorts,https://clinicaltrials.gov/study/NCT04980560,ACTIVE_NOT_RECRUITING,COVID-19 Vaccination|Gut Microbiota,,Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04961255,Effects of Post-COVID-19 on Quadriceps Femoral Muscle-tendon Unit,https://clinicaltrials.gov/study/NCT04961255,RECRUITING,Post-COVID-19|Healthy Participants,,University of Brasilia,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04956445,Collection of SARS CoV-2 (COVID-19) Virus Secretions and Serum for Countermeasure Development,https://clinicaltrials.gov/study/NCT04956445,RECRUITING,Covid19,,Tulane University,Centers for Disease Control and Prevention|Gilead Sciences,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04951336,RCT of Mushroom Based Natural Product to Enhance Immune Response to COVID-19 Vaccination,https://clinicaltrials.gov/study/NCT04951336,ACTIVE_NOT_RECRUITING,COVID-19 Vaccination,DIETARY_SUPPLEMENT: FoTv,"University of California, San Diego",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04950803,A Randomised-controlled Trial of an Oral Microbiome Immunity Formula in Recovered COVID-19 Patients,https://clinicaltrials.gov/study/NCT04950803,ACTIVE_NOT_RECRUITING,COVID-19|Probiotic,DIETARY_SUPPLEMENT: Microbiome immunity formula|DIETARY_SUPPLEMENT: Active placebo,Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04939415,Chinese Herbal Formula for COVID-19,https://clinicaltrials.gov/study/NCT04939415,ACTIVE_NOT_RECRUITING,Covid19,DRUG: mQFPD|DRUG: organic brown rice,"University of California, San Diego",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04939402,SARS-COV-2 Seroprevalence and Seroconversion Among Employees of the UZ Brussel Following COVID-19 Vaccination Using an Adenoviral Vector,https://clinicaltrials.gov/study/NCT04939402,RECRUITING,SARS-CoV-2|Covid19,DIAGNOSTIC_TEST: Serological testing,Universitair Ziekenhuis Brussel,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04924803,Community Developed Technology-Based Messaging to Increase COVID-19 Vaccine Uptake Among People Who Inject Drugs,https://clinicaltrials.gov/study/NCT04924803,ACTIVE_NOT_RECRUITING,Covid19,BEHAVIORAL: No video|BEHAVIORAL: Video Text,"NDRI-USA, Inc.",New York Harm Reduction Educators|National Institute on Drug Abuse (NIDA),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04918875,Oxygen Requirements and Use in Patients With COVID-19 in LMICs,https://clinicaltrials.gov/study/NCT04918875,ACTIVE_NOT_RECRUITING,Covid19|COVID-19 Pneumonia,,Pryanka Relan,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04910282,Impact of COVID-19 on Quality of Life of Seniors With Eye Disease and Implementations to Improve Wellness,https://clinicaltrials.gov/study/NCT04910282,RECRUITING,Covid19|Eye Diseases,,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,,ALL,OLDER_ADULT,OBSERVATIONAL
NCT04904692,Virological and Immunological Monitoring in Patients (suspected Of/confirmed With) COVID-19,https://clinicaltrials.gov/study/NCT04904692,ACTIVE_NOT_RECRUITING,COVID-19,PROCEDURE: Blood draw|PROCEDURE: Bronchoalveolar lavage|PROCEDURE: SARS CoV-2 swabs,"University Hospital, Ghent","Fund for Scientific Research, Flanders, Belgium|Chan Zuckerberg Initiative|Flanders Institute for Biotechnology",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04894435,Mix and Match of the COVID-19 Vaccine for Safety and Immunogenicity,https://clinicaltrials.gov/study/NCT04894435,ACTIVE_NOT_RECRUITING,COVID-19,"BIOLOGICAL: mRNA-1273 SARS-CoV-2 vaccine|BIOLOGICAL: BNT162b2|BIOLOGICAL: ChAdOx1-S [recombinant]|OTHER: 0, 28 day schedule|OTHER: 0, 112 day schedule|BIOLOGICAL: Covifenz",Canadian Immunization Research Network,Canadian Center for Vaccinology|BC Children's Hospital Research Institute|Children's Hospital Research Institute of Manitoba|CHU de Quebec-Universite Laval|Ottawa Hospital Research Institute|Ontario Agency for Health Protection and Promotion|University of Toronto|Massachusetts General Hospital|Interior Health|McGill University Health Centre/Research Institute of the McGill University Health Centre,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04889274,Investigation of the Effects of Dietary Nitrate and Sex on COVID-19 Vaccine Induced Vascular Dysfunction in Healthy Men and Women (DiNOVasc-COVID-19),https://clinicaltrials.gov/study/NCT04889274,ACTIVE_NOT_RECRUITING,Cardiovascular Diseases|Endothelial Dysfunction,BIOLOGICAL: COVID-19 vaccine|BIOLOGICAL: Concentrate beetroot Juice|BIOLOGICAL: Nitrate-deplete beetroot juice,Queen Mary University of London,,ALL,ADULT,INTERVENTIONAL
NCT04881253,COVID-19 Patient Cohort: Retinal Damage in Non-invasive Retinal Imaging (OCTA),https://clinicaltrials.gov/study/NCT04881253,RECRUITING,Covid19|Retina Injury,,Centre Hospitalier Intercommunal Creteil,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04878328,Leveraging CHWs to Improve COVID-19 Testing and Mitigation Among CJIs Accessing a Corrections-focused CBO,https://clinicaltrials.gov/study/NCT04878328,ACTIVE_NOT_RECRUITING,Covid19,BEHAVIORAL: Onsite Point-of-care,Montefiore Medical Center,The Fortune Society|University of Bristol|National Institute on Minority Health and Health Disparities (NIMHD)|Cepheid,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04870333,PROphylaxis for paTiEnts at Risk of COVID-19 infecTion -V,https://clinicaltrials.gov/study/NCT04870333,RECRUITING,Covid19,DRUG: Niclosamide|DRUG: Placebo|DRUG: Ciclesonide|DRUG: Placebo|DRUG: Sotrovimab|DRUG: Placebo,Cambridge University Hospitals NHS Foundation Trust,"Life Arc|Kidney Research UK (KRUK)|UNION therapeutics|Addenbrookes Charitable Trust|GlaxoSmithKline|National Institute for Health Research, United Kingdom",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04853004,Current and Past SARS-CoV-2 Infection and COVID-19 in Healthcare With Regard to Vaccinations,https://clinicaltrials.gov/study/NCT04853004,ACTIVE_NOT_RECRUITING,SARS-CoV 2,DIAGNOSTIC_TEST: SARS-CoV2 antibody measurement,Karolinska Institutet,Karolinska University Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04852835,Follow-up of COVID-19 Vaccine Response in Strasbourg University Hospitals,https://clinicaltrials.gov/study/NCT04852835,RECRUITING,COVID-19 Vaccines,,"University Hospital, Strasbourg, France",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04852289,A Clinical Observational Study of SARS-CoV-2 Specific CD8 T-Cell Responses to COVID-19 Vaccines in Humans,https://clinicaltrials.gov/study/NCT04852289,RECRUITING,COVID-19,,National Institute on Aging (NIA),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04848584,Pfizer-BioNTech COVID-19 Vaccine Effectiveness Study - Kaiser Permanente Southern California,https://clinicaltrials.gov/study/NCT04848584,RECRUITING,COVID-19,BIOLOGICAL: Primary Exposure Status of Pfizer-BioNTech COVID-19 Vaccine|BIOLOGICAL: BNT162b2 BA.4/5 bivalent|BIOLOGICAL: XBB.1.5-adapted vaccinated,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04839042,"A Phase 1, First-In-Human Study of the Investigational COVID-19 Vaccine SC-Ad6-1 in Healthy Volunteers",https://clinicaltrials.gov/study/NCT04839042,RECRUITING,Covid19,BIOLOGICAL: SC-Ad6-1|BIOLOGICAL: SC-Ad6-1|BIOLOGICAL: SC-Ad6-1,Moat Biotechnology Corporation,,ALL,ADULT,INTERVENTIONAL
NCT04834869,COVID-19 Vaccines Safety Tracking (CoVaST),https://clinicaltrials.gov/study/NCT04834869,RECRUITING,Adverse Reaction to Vaccine|COVID19 Vaccine,BIOLOGICAL: BNT162b2|BIOLOGICAL: mRNA-1273|BIOLOGICAL: AZD1222|BIOLOGICAL: CoronaVac|BIOLOGICAL: Sinopharm|BIOLOGICAL: Gam-COVID-Vac|BIOLOGICAL: JNJ-78436735|BIOLOGICAL: CVnCoV|BIOLOGICAL: NVX-CoV2373|BIOLOGICAL: BBV152,Masaryk University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04832932,The COVID-19 Back-to-Normal Study: Analysis of Multiple Outcomes,https://clinicaltrials.gov/study/NCT04832932,ACTIVE_NOT_RECRUITING,COVID-19 Vaccines,BIOLOGICAL: COVID-19 vaccines,"Mebo Research, Inc.",Aurametrix,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04830852,Pediatric COVID Outcomes Study (PECOS),https://clinicaltrials.gov/study/NCT04830852,ACTIVE_NOT_RECRUITING,Covid19|MIS-C Associated with COVID-19|MIS-C Multisystem Inflammatory Syndrome in Children|SARS-CoV2 Infection,,Children's National Research Institute,National Institute of Allergy and Infectious Diseases (NIAID),ALL,"CHILD, ADULT",OBSERVATIONAL
NCT04828629,Complications and the Influence of COVID-19 on Myocardial Function and Exercise Capacity,https://clinicaltrials.gov/study/NCT04828629,ACTIVE_NOT_RECRUITING,Covid19|Heart Failure,DIAGNOSTIC_TEST: Diagnostic tests,Polish Mother Memorial Hospital Research Institute,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04826770,Adaptive Immune Response to COVID-19 Vaccination,https://clinicaltrials.gov/study/NCT04826770,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Vaccination,DRUG: BNT162b2|DRUG: AZD 1222|DRUG: mRNA-1273,University Medicine Greifswald,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04815096,Imaging Immune Activation in COVID-19,https://clinicaltrials.gov/study/NCT04815096,RECRUITING,Covid19|SARS-CoV Infection,DRUG: [18F]F-AraG (2'-deoxy-2'-fluoro-9-β-D-arabinofuranosylguanine),"CellSight Technologies, Inc.","University of California, San Francisco",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04813718,Post COVID-19 Syndrome and the Gut-lung Axis,https://clinicaltrials.gov/study/NCT04813718,ACTIVE_NOT_RECRUITING,Covid19,DIETARY_SUPPLEMENT: Omni-Biotic Pro Vi 5|DIETARY_SUPPLEMENT: Placebo,Medical University of Graz,CBmed Ges.m.b.H.,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04811456,MultiOrgan Inflammatory Syndromes COVID-19 Related Study,https://clinicaltrials.gov/study/NCT04811456,RECRUITING,Covid19,OTHER: multisystem inflammatory syndrome in children (MIS-C),Medical University of Warsaw,Wrocław Medical University|University of Warsaw,ALL,"CHILD, ADULT",OBSERVATIONAL
NCT04802408,SARS-Cov-2 (COVID-19) Nasal Pharyngeal and Oral Pharyngeal Wash (SNOW) Trial,https://clinicaltrials.gov/study/NCT04802408,RECRUITING,Covid19|SARS-CoV Infection,COMBINATION_PRODUCT: Shampoo and saline|COMBINATION_PRODUCT: Saline and Listerine|COMBINATION_PRODUCT: Shampoo and Listerine|COMBINATION_PRODUCT: Saline and Saline,Milton S. Hershey Medical Center,AXIOM Real Time Metrics|Analytica Ventures LLC,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04800133,Covid-19 Vaccination in Adolescents and Children,https://clinicaltrials.gov/study/NCT04800133,ACTIVE_NOT_RECRUITING,Covid19,"BIOLOGICAL: Tozinameran|BIOLOGICAL: CoronaVac|BIOLOGICAL: CoronaVac, intradermal",The University of Hong Kong,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04799834,Genotype and Susceptibility to COVID-19,https://clinicaltrials.gov/study/NCT04799834,ACTIVE_NOT_RECRUITING,Covid19,"OTHER: Questionnaire administration,blood sampling and genetic analyses.",Mario Negri Institute for Pharmacological Research,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04780659,COVID-19 Vaccination of Immunodeficient Persons (COVAXID),https://clinicaltrials.gov/study/NCT04780659,ACTIVE_NOT_RECRUITING,Covid19,"BIOLOGICAL: Comirnaty (COVID-19, mRNA vaccine)",Karolinska University Hospital,Karolinska Institutet,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04775134,Residual SARS-CoV-2 Presence in the Respiratory Tract and Lung Parenchyma (After SARS-CoV-2 Infection or COVID-19),https://clinicaltrials.gov/study/NCT04775134,RECRUITING,Covid19,DIAGNOSTIC_TEST: Lung biopsy,Universitaire Ziekenhuizen KU Leuven,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04753346,Comparison of Cardiopulmonary Fitness Level With Normal Values After COVID-19,https://clinicaltrials.gov/study/NCT04753346,RECRUITING,COVID 19,OTHER: Physical Activity Level|OTHER: Anxiety and Depression Assessment|DIAGNOSTIC_TEST: Exercise Capacity|DIAGNOSTIC_TEST: Pulmonary Function Test|DIAGNOSTIC_TEST: Cardiopulmonary Fitness Level|OTHER: Cognitive Assessment,Ankara University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04736732,Institut de Recherche Cliniques de Montreal (IRCM) Post-COVID-19 (IPCO) Research Clinic,https://clinicaltrials.gov/study/NCT04736732,RECRUITING,Covid19,OTHER: Medical follow-up,"Emilia Falcone, MD",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04736004,Hearts of Athletes,https://clinicaltrials.gov/study/NCT04736004,RECRUITING,Cardiac Involvement With COVID-19,,Duke University,The Joel Cornette Foundation,ALL,ADULT,OBSERVATIONAL
NCT04717024,The Nanowear Wearable Covid-19 Observational and Analysis Trend,https://clinicaltrials.gov/study/NCT04717024,RECRUITING,Covid19,DEVICE: Observational Study - no intervention,Nanowear Inc.,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04713150,HEALthy Brain and Child Development Study - COVID-19 Supplement,https://clinicaltrials.gov/study/NCT04713150,ACTIVE_NOT_RECRUITING,Child Development|Prenatal Infection|Prenatal Stress|Covid19,OTHER: No Intervention,Boston Children's Hospital,Brigham and Women's Hospital|Massachusetts General Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04710836,NoRCoRP Assessment Clinic,https://clinicaltrials.gov/study/NCT04710836,RECRUITING,Covid19,,Nottingham University Hospitals NHS Trust,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04706390,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,https://clinicaltrials.gov/study/NCT04706390,RECRUITING,Covid19,BIOLOGICAL: covid-19 vaccine,University of Bergen,Haukeland University Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04705116,COVID-19 Vaccines International Pregnancy Exposure Registry,https://clinicaltrials.gov/study/NCT04705116,RECRUITING,Covid19,BIOLOGICAL: COVID-19 vaccine,Pregistry,,FEMALE,ADULT,OBSERVATIONAL
NCT04679584,COVIDOM: Longterm Morbidity of SARS-CoV-2 Infection and COVID-19 Disease - Consequences for Health Status and Quality of Life,https://clinicaltrials.gov/study/NCT04679584,RECRUITING,COVID-19,OTHER: Observation of different courses of SARS-CoV-2 infection in different phases (acute vs. post-acute) and settings,University Hospital Schleswig-Holstein,"Charite University, Berlin, Germany|Wuerzburg University Hospital|German Federal Ministry of Education and Research",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04678193,COVID-19 Risk Assessment for Hospitalization Outcomes and Epidemiology Efficacy,https://clinicaltrials.gov/study/NCT04678193,RECRUITING,Covid19,DRUG: Coromec Registry with ECL-19,"Aventyn, Inc.",Intel Corporation|Abrazo Health Network|Karolinska Institutet|ASU College of Health Solutions,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04667247,Mushroom-based Product for COVID-19,https://clinicaltrials.gov/study/NCT04667247,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: FoTv,Gordon Saxe,"University of California, Los Angeles|University of California, Irvine",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04659707,Hyperpolarized 129Xe MRI of Survivors of COVID-19,https://clinicaltrials.gov/study/NCT04659707,ACTIVE_NOT_RECRUITING,Covid19,DRUG: Hyperpolarized Xe129,University of Kansas Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04652115,Defibrotide for the Treatment of Severe COVID-19,https://clinicaltrials.gov/study/NCT04652115,RECRUITING,Covid19,DRUG: Defibrotide,Brigham and Women's Hospital,Jazz Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04650178,Well-being in Cancer Patients With Neuropathy During COVID-19 Who Participated in Prior Clinical Trials,https://clinicaltrials.gov/study/NCT04650178,ACTIVE_NOT_RECRUITING,COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Neuropathy,OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,M.D. Anderson Cancer Center,National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04648410,Corticosteroids in Severe COVID-19(ASAP-C Study),https://clinicaltrials.gov/study/NCT04648410,RECRUITING,Severe COVID-19,OTHER: questionnaire,Brno University Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04621084,Influence of the COVId-19 Pandemic on STRESS and Eating Habits,https://clinicaltrials.gov/study/NCT04621084,RECRUITING,Nutrition,BEHAVIORAL: Eating habits,"University Hospital, Clermont-Ferrand",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04619576,Influence of the COVId-19 Pandemic on STRESS of Occupational Health Workers,https://clinicaltrials.gov/study/NCT04619576,RECRUITING,Occupational Health,BEHAVIORAL: Occupational health workers,"University Hospital, Clermont-Ferrand",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04611243,"Lung Function, Exercise Capacity, and Serology Responses in Patients With COVID-19",https://clinicaltrials.gov/study/NCT04611243,RECRUITING,Lung Function|Exercise Capacity|Quality of Life|Covid19,BIOLOGICAL: third dose vaccination with CoronaVac vaccine|BIOLOGICAL: third dose vaccination with BionTech vaccine|BIOLOGICAL: Vaccination with Coronavac vaccine|BIOLOGICAL: Vaccination with BionTech Vaccine,Chinese University of Hong Kong,The University of Hong Kong|Health and Medical Research Fund,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04606732,CardioVascular Disease Progression and Prognosis in COVID-19,https://clinicaltrials.gov/study/NCT04606732,RECRUITING,Covid19,,University of Bologna,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04605965,WEAICOR: Wearables to Investigate the Long Term Cardiovascular and Behavioral Impacts of COVID-19,https://clinicaltrials.gov/study/NCT04605965,ACTIVE_NOT_RECRUITING,Covid19|Cardiovascular Complication|Behavioral Changes,,Tulane University,Biostrap,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04603105,CCP Cancer UK Companion Study,https://clinicaltrials.gov/study/NCT04603105,ACTIVE_NOT_RECRUITING,Cancer|Covid19,,The Clatterbridge Cancer Centre NHS Foundation Trust,University of Edinburgh|University of Oxford|University of Liverpool,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04595773,"COVID-19, Chronic Adaptation and Response to Exercise (COVID-CARE)",https://clinicaltrials.gov/study/NCT04595773,ACTIVE_NOT_RECRUITING,COVID-19,OTHER: Aerobic Exercise Training|OTHER: Education,National Institutes of Health Clinical Center (CC),,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04591613,Late Clinical Events Associated With COVID-19 Infection,https://clinicaltrials.gov/study/NCT04591613,RECRUITING,Covid19,OTHER: Questionnaire|OTHER: Biocollection|OTHER: Follow-up visit,Tourcoing Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04587323,VEGF and sFlt-1 Levels in the Pathogenesis and Severity of COVID-19 Disease,https://clinicaltrials.gov/study/NCT04587323,RECRUITING,COVID-19 Disease,,University of Alabama at Birmingham,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04586413,Post Acute COVID-19 Quality of Life (PAC-19QoL) Tool Development and Patient Registry (PAC-19QoLReg),https://clinicaltrials.gov/study/NCT04586413,RECRUITING,Covid19,OTHER: No intervention - quality of life measure,Medialis Ltd.,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04584710,A Phase 2 Study of RTB101 as COVID-19 Post-Exposure Prophylaxis in Older Adults,https://clinicaltrials.gov/study/NCT04584710,ACTIVE_NOT_RECRUITING,Covid19,DRUG: RTB101|DRUG: Placebo,Restorbio Inc.,National Institute on Aging (NIA),ALL,OLDER_ADULT,INTERVENTIONAL
NCT04584671,Lung Structure-Function In Survivors of Mild and Severe COVID-19 Infection,https://clinicaltrials.gov/study/NCT04584671,ACTIVE_NOT_RECRUITING,Covid19,DIAGNOSTIC_TEST: Hyperpolarized Xenon-129 MRI of the lungs|DIAGNOSTIC_TEST: Computed Tomography (CT)|DIAGNOSTIC_TEST: Pulmonary Function Tests (PFT)|DIAGNOSTIC_TEST: Six Minute Walk Test (6MWT)|DIAGNOSTIC_TEST: Sputum analysis|DIAGNOSTIC_TEST: Blood analysis|OTHER: Questionnaires,"Western University, Canada",London Health Sciences Centre,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04581928,Patients Reactions Towards Their Diagnosis as Having COVID-19,https://clinicaltrials.gov/study/NCT04581928,RECRUITING,Covid19,,ClinAmygate,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05732285,A Pilot Randomized Controlled Trial: CoINTEGRATE,https://clinicaltrials.gov/study/NCT05732285,RECRUITING,Neurocognitive Disorders|Cognitive Dysfunction|Traumatic Brain Injury|Multiple Sclerosis|Mild Cognitive Impairment,BEHAVIORAL: CRT|BEHAVIORAL: CBT|BEHAVIORAL: Modifiable lifestyle factors|BEHAVIORAL: Usual care Psychoeducation,University of Michigan,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04574765,A Research Platform to Screen Healthcare Workers- Coordinated Approach to Pandemic Trials of COVID-19,https://clinicaltrials.gov/study/NCT04574765,ACTIVE_NOT_RECRUITING,Healthcare Worker|Covid19,DIAGNOSTIC_TEST: Nasopharyngeal swab|OTHER: Questionnaire collection|OTHER: Optional blood completion|OTHER: Optional questionnaire completion,"University Health Network, Toronto",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04565067,Identification and Characterization of SARS-CoV-2 Specific CD8 T Cells in Humans,https://clinicaltrials.gov/study/NCT04565067,ACTIVE_NOT_RECRUITING,COVID-19,,National Institute on Aging (NIA),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04563676,Physiopathology and Sequelae of COVID-19 Infection,https://clinicaltrials.gov/study/NCT04563676,ACTIVE_NOT_RECRUITING,Covid19|TSH|Cortisol,BIOLOGICAL: blood test,"Centre Hospitalier Universitaire, Amiens",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
